name	IF	if_ordered	url
Microbiome	9.133	Y	https://microbiomejournal.biomedcentral.com/articles
Genome Medicine	8.898	Y	https://genomemedicine.biomedcentral.com/articles
NATURE	41.577	Y	https://www.nature.com/
NATURE REVIEWS GENETICS	41.465	Y	https://www.nature.com/nrg/
NATURE REVIEWS CANCER	42.784	Y	https://www.nature.com/nrc/
NATURE REVIEWS IMMUNOLOGY	41.982	Y	https://www.nature.com/nri/
NATURE MEDICINE	32.621	Y	https://www.nature.com/nm/
NATURE REVIEWS DRUG DISCOVERY	50.167	Y	https://www.nature.com/nrd/
NATURE REVIEWS MICROBIOLOGY	31.851	Y	http://www.nature.com/nrmicro/index.html
NATURE REVIEWS MOLECULAR CELL BIOLOGY	35.612	Y	http://www.nature.com/nrm/index.html
NATURE IMMUNOLOGY	21.809	Y	https://www.nature.com/ni/
NATURE METHODS	26.919	Y	http://www.nature.com/nmeth/index.html
NATURE GENETICS	27.125	Y	http://www.nature.com/ng/index.html
Nature Reviews Clinical Oncology	24.653	Y	http://www.nature.com/nrclinonc/index.html
Nature Reviews Gastroenterology & Hepatology	17.324	N	http://www.nature.com/nrgastro/index.html
NATURE NEUROSCIENCE	19.912	Y	https://www.nature.com/neuro/
Nature Reviews Rheumatology	15.661	Y	https://www.nature.com/nrrheum/
Nature Reviews Neurology	19.819	N	https://www.nature.com/nrneurol/
Nature Reviews Cardiology	15.162	N	https://www.nature.com/nrcardio/
Nature Reviews Nephrology	14.101	N	https://www.nature.com/nrneph/
NATURE REVIEWS NEUROSCIENCE	32.635	Y	https://www.nature.com/nrn/
Nature Reviews Endocrinology	20.265	N	https://www.nature.com/nrendo/
Nature Reviews Disease Primers	16.071	N	https://www.nature.com/nrdp/
Nature Plants	11.471	N	http://www.nature.com/nplants/
Nature Protocols	12.423	Y	http://www.nature.com/nprot/index.html
NATURE CELL BIOLOGY	19.064	Y	http://www.nature.com/ncb/index.html
Nature Microbiology	14.174	N	https://www.nature.com/nmicrobiol/
Nature Chemical Biology	13.843	Y	http://www.nature.com/nchembio/index.html
CELL RESEARCH	15.393	Y	http://www.nature.com/cr/index.html
NATURE STRUCTURAL & MOLECULAR BIOLOGY	13.333	Y	http://www.nature.com/nsmb/index.html
Nature Communications	12.353	Y	http://www.nature.com/ncomms/index.html
GENETICS IN MEDICINE	9.937	N	http://www.nature.com/gim/index.html
Cell Death & Differentiation	8	Y	http://www.nature.com/cdd/index.html
Nature Reviews Urology	8.089	Y	https://www.nature.com/nrurol/
LEUKEMIA	10.023	N	http://www.nature.com/leu/index.html
Bone Research	12.354	Y	http://www.nature.com/boneres/
MOLECULAR PSYCHIATRY	11.64	Y	http://www.nature.com/mp/index.html
Blood Cancer Journal	8.125	Y	http://www.nature.com/bcj/index.html
AMERICAN JOURNAL OF GASTROENTEROLOGY	10.231	N	http://www.nature.com/ajg/index.html
Nature Climate Change	19.181	N	http://www.nature.com/nclimate/index.html
ISME Journal	9.52	N	http://www.nature.com/ismej/index.html
CELL	31.398	Y	https://www.cell.com/cell/newarticles
CANCER CELL	22.844	Y	https://www.cell.com/cancer-cell/newarticles
Cell Stem Cell	23.29	Y	https://www.cell.com/cell-stem-cell/newarticles
Cell Metabolism	20.565	Y	https://www.cell.com/cell-metabolism/newarticles
IMMUNITY	19.734	Y	https://www.cell.com/immunity/newarticles
TRENDS IN CELL BIOLOGY	18.564	Y	https://www.cell.com/trends/cell-biology/newarticles
Cell Host & Microbe	17.872	Y	https://www.cell.com/cell-host-microbe/newarticles
TRENDS IN BIOCHEMICAL SCIENCES	15.678	Y	https://www.cell.com/trends/biochemical-sciences/newarticles
TRENDS IN IMMUNOLOGY	14.188	Y	https://www.cell.com/trends/immunology/newarticles
MOLECULAR CELL	14.248	Y	https://www.cell.com/molecular-cell/newarticles
NEURON	14.319	Y	https://www.cell.com/neuron/newarticles
TRENDS IN PHARMACOLOGICAL SCIENCES	12.108	Y	https://www.cell.com/tips/newarticles
TRENDS IN MICROBIOLOGY	11.776	Y	https://www.cell.com/trends/microbiology/newarticles
TRENDS IN NEUROSCIENCES	11.439	Y	https://www.cell.com/trends/neurosciences/newarticles
TRENDS IN MOLECULAR MEDICINE	11.021	Y	https://www.cell.com/trends/molecular-medicine/newarticles
TRENDS IN ENDOCRINOLOGY AND METABOLISM	10.769	Y	https://www.cell.com/trends/endocrinology-metabolism/newarticles
TRENDS IN GENETICS	10.556	Y	https://www.cell.com/trends/genetics/newarticles
TRENDS IN ECOLOGY & EVOLUTION	15.938	Y	https://www.cell.com/trends/ecology-evolution/newarticles
DEVELOPMENTAL CELL	9.616	Y	https://www.cell.com/developmental-cell/newarticles
CURRENT BIOLOGY	9.251	Y	https://www.cell.com/current-biology/newarticles
AMERICAN JOURNAL OF HUMAN GENETICS	8.855	Y	https://www.cell.com/ajhg/newarticles
TRENDS IN COGNITIVE SCIENCES	15.557	Y	https://www.cell.com/trends/cognitive-sciences/newarticles
