ISSN	期刊名	期刊名简写	IF	深大是否订阅该期刊	中科院分区	大类学科	小类学科	更新规律	网址
0028-0836	NATURE	NATURE	41.577	是	1区	综合性期刊	综合性期刊		https://www.nature.com
1471-0056	NATURE REVIEWS GENETICS	NAT REV GENET	41.465	是	1区	生物	遗传学		https://www.nature.com/nrg/
1474-175X	NATURE REVIEWS CANCER	NAT REV CANCER	42.784	是	1区	医学	肿瘤学		https://www.nature.com/nrc/
1474-1733	NATURE REVIEWS IMMUNOLOGY	NAT REV IMMUNOL	41.982	是	1区	医学	免疫学		https://www.nature.com/nri/
1078-8956	NATURE MEDICINE	NAT MED	32.621	是	1区	医学	生化与分子生物学		https://www.nature.com/nm/
1474-1776	NATURE REVIEWS DRUG DISCOVERY	NAT REV DRUG DISCOV	50.167	是	1区	医学	生物工程与应用微生物		https://www.nature.com/nrd/
1740-1526	NATURE REVIEWS MICROBIOLOGY	NAT REV MICROBIOL	31.851	是	1区	生物	微生物学		http://www.nature.com/nrmicro/index.html
1471-0072	NATURE REVIEWS MOLECULAR CELL BIOLOGY	NAT REV MOL CELL BIO	35.612	是	1区	生物	细胞生物学		http://www.nature.com/nrm/index.html
1529-2908	NATURE IMMUNOLOGY	NAT IMMUNOL	21.809	是	1区	医学	免疫学		https://www.nature.com/ni/
1548-7091	NATURE METHODS	NAT METHODS	26.919	是	1区	生物	生化研究方法		http://www.nature.com/nmeth/index.html
1061-4036	NATURE GENETICS	NAT GENET	27.125	是	1区	生物	遗传学		http://www.nature.com/ng/index.html
1759-4774	Nature Reviews Clinical Oncology	NAT REV CLIN ONCOL	24.653	是	1区	医学	肿瘤学		http://www.nature.com/nrclinonc/index.html
1759-5045	Nature Reviews Gastroenterology & Hepatology	NAT REV GASTRO HEPAT	17.324	否	1区	医学	胃肠肝病学		http://www.nature.com/nrgastro/index.html
1097-6256	NATURE NEUROSCIENCE	NAT NEUROSCI	19.912	是	1区	医学	神经科学		https://www.nature.com/neuro/
