发表日期	英文题目	中文题目（未审校）	文献类型	作者	通讯作者单位	期刊	IF	深大是否订阅	文献网址
43525	Ancient plants escaped the end-Permian mass extinction	古代植物躲过了二叠纪末期的大灭绝	News & Views	Robert A. Gastaldo		Nature	41.577	是	https://www.nature.com/articles/d41586-019-00744-3
43525	Tortoise-inspired device for oral delivery of biologics	灵感来源于乌龟的生物制剂口服装置	Research Highlight	Megan Cully		NATURE REVIEWS GENETICS	41.465	是	https://www.nature.com/articles/d41573-019-00036-5
43525	The multiple mechanisms that regulate p53 activity and cell fate	调节p53活性和细胞命运的多种机制	Review Article	"Antonina Hafner, Martha L. Bulyk, Ashwini Jambhekar & Galit Lahav "		Nature Reviews Molecular Cell Biology	35.612	是	https://www.nature.com/articles/s41580-019-0110-x
43525	The NKG2A immune checkpoint — a new direction in cancer immunotherapy	NKG2A免疫检查点——癌症免疫治疗的新方向	News & Views	Benjamin C. Creelan & Scott J. Antonia		Nature Reviews Clinical Oncology	24.653	是	https://www.nature.com/articles/s41571-019-0182-8
43525	"The gut mycobiota: insights into analysis, environmental interactions and role in gastrointestinal diseases"	肠道菌群:对胃肠道疾病的分析、环境相互作用和作用的见解	Review Article	Mathias L. Richard & Harry Sokol 		Nature Reviews Gastroenterology & Hepatology	17.324	是	https://www.nature.com/articles/s41575-019-0121-2
43525	Platelets: emerging facilitators of cellular crosstalk in rheumatoid arthritis	血小板:类风湿关节炎细胞串扰的新兴促进因子	Review Article	"Oore-ofe Olumuyiwa-Akeredolu, Martin J. Page, Prashilla Soma & Etheresia Pretorius"		Nature Reviews Rheumatology 	15.661	否	https://www.nature.com/articles/s41584-019-0187-9
43525	Ultrasensitive assay raises hope of plasma PD marker	超灵敏的检测方法为血浆PD标记物的检测带来了希望	Research Highlight 	Ian Fyfe		Nature Reviews Neurology	19.819	否	https://www.nature.com/articles/s41582-019-0159-3
43525	ABCF1 switches off inflammation in sepsis	ABCF1可以抑制脓毒症的炎症	Research Highlight	Ellen F. Carney		Nature Reviews Nephrology	14.101	否	https://www.nature.com/articles/s41581-019-0136-5
43525	Beyond plasticity: the dynamic impact of electrical synapses on neural circuits	超越可塑性:电突触对神经回路的动态影响	Review Article	Pepe Alcamí & Alberto E. Pereda		Nature Reviews Neuroscience	32.635	是	https://www.nature.com/articles/s41583-019-0133-5
43525	Epithelial polarity limits EMT	上皮极性限制EMT	News & Views	Oana-Diana Persa & Carien M. Niessen		Nature Cell Biology	19.064	是	https://www.nature.com/articles/s41556-019-0284-7
