	发表日期	英文题目	中文题目（未审校）	文献类型	作者	通讯作者单位	期刊	IF	深大是否订阅	文献网址
0	2019-03-27	Vestibular processing during natural self-motion: implications for perception and action	自然自我运动时的前庭处理:知觉和动作的暗示	Review Article	Kathleen E. Cullen	Kathleen E. Cullen: Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA	NATURE REVIEWS NEUROSCIENCE	32.635	Y	https://www.nature.com/articles/s41583-019-0153-1
1	2019-03-27	Modulating host metabolism	调节宿主代谢	In Brief	Andrea Du Toit	Andrea Du Toit: Nature Reviews Microbiology, http://www.nature.com/nrmicro/	NATURE REVIEWS MICROBIOLOGY	31.851	Y	https://www.nature.com/articles/s41579-019-0194-5
2	2019-03-27	TRIM5α controls HIV-1 infection in humans	TRIM5α控制hiv - 1感染人类	In Brief	Andrea Du Toit	Andrea Du Toit: Nature Reviews Microbiology, http://www.nature.com/nrmicro/	NATURE REVIEWS MICROBIOLOGY	31.851	Y	https://www.nature.com/articles/s41579-019-0192-7
3	2019-03-27	Reducing the second messenger	还原第二个信使	In Brief	Andrea Du Toit	Andrea Du Toit: Nature Reviews Microbiology, http://www.nature.com/nrmicro/	NATURE REVIEWS MICROBIOLOGY	31.851	Y	https://www.nature.com/articles/s41579-019-0193-6
4	2019-03-27	New species of gut bacteria associated with AS	与AS有关的肠道细菌新种	In Brief	Joanna Collison	Joanna Collison: Nature Reviews Rheumatology, http://www.nature.com/nrrheum/	Nature Reviews Rheumatology	15.661	Y	https://www.nature.com/articles/s41584-019-0209-7
5	2019-03-27	Recombinullt IL-1Ra as first-line therapy in sJIA	重组IL-1Ra作为sJIA的一线治疗	In Brief	Joanna Collison	Joanna Collison: Nature Reviews Rheumatology, http://www.nature.com/nrrheum/	Nature Reviews Rheumatology	15.661	Y	https://www.nature.com/articles/s41584-019-0208-8
6	2019-03-27	Daily briefing: Three ‘godfathers of artificial intelligence’ win the Turing Award	每日简报:三位人工智能教父获得图灵奖	NATURE BRIEFING	Flora Graham		NATURE	41.577	Y	https://www.nature.com/articles/d41586-019-01017-9
7	2019-03-27	Error mitigation extends the computational reach of a noisy quantum processor	误差缓解扩展了有噪声量子处理器的计算范围	Letter	Abhinav Kandala,Kristan Temme,Antonio D. Córcoles,Antonio Mezzacapo,Jerry M. Chow,Jay M. Gambetta	Abhinav Kandala: IBM T. J. Watson Research Center, Yorktown Heights, NY, USA	NATURE	41.577	Y	https://www.nature.com/articles/s41586-019-1040-7
8	2019-03-27	Efficient, stable and scalable perovskite solar cells using poly(3-hexylthiophene)	高效、稳定、可伸缩的聚(3-己基噻吩)钙钛矿太阳能电池	Letter	Eui Hyuk Jung,Nam Joong Jeon,Eun Young Park,Chan Su Moon,Tae Joo Shin,Tae-Youl Yang,Jun Hong Noh,Jangwon Seo	Jun Hong Noh: Division of Advanced Materials, Korea Research Institute of Chemical Technology (KRICT), Daejeon, South Korea//School of Civil, Environmental and Architectural Engineering, Korea University, Seoul, South Korea;Jangwon Seo: Division of Advanced Materials, Korea Research Institute of Chemical Technology (KRICT), Daejeon, South Korea	NATURE	41.577	Y	https://www.nature.com/articles/s41586-019-1036-3
9	2019-03-27	Syndecan 1 is a critical mediator of macropinocytosis in pancreatic cancer	辛迪康1是胰腺癌大细胞增多症的重要调节因子	Letter	Wantong Yao,Johnathon L. Rose,Wei Wang,Sahil Seth,Hong Jiang,Ayumu Taguchi,Jintan Liu,Liang Yan,Avnish Kapoor,Pingping Hou,Ziheng Chen,Qiuyun Wang,Luigi Nezi,Zhaohui Xu,Jun Yao,Baoli Hu,Piergiorgio F. Pettazzoni,I Lin Ho,Ningping Feng,Vandhana Ramamoorthy,Shan Jiang,Pingna Deng,Grace J. Ma,Peter Den,Zhi Tan,Shu Xing Zhang,Huamin Wang,Y. Alan Wang,Angela K. Deem,Jason B. Fleming,Alessandro Carugo,Timothy P. Heffernull,Anirban Maitra,Andrea Viale,Haoqiang Ying,Samir Hanash,Ronald A. DePinho,Giulio F. Draetta	Giulio F. Draetta: Department of Genomic Medicine, University of Texas MD Anderson Cancer Center, Houston, TX, USA//Department of Molecular and Cellular Oncology, University of Texas MD Anderson Cancer Center, Houston, TX, USA	NATURE	41.577	Y	https://www.nature.com/articles/s41586-019-1062-1
10	2019-03-27	Climate–land-use interactions shape tropical mountain biodiversity and ecosystem functions	气候土地利用相互作用形成热带山地生物多样性和生态系统功能	Letter	Marcell K. Peters,Andreas Hemp,Tim Appelhans,Joscha N. Becker,Christina Behler,Alice Classen,Florian Detsch,Andreas Ensslin,Stefan W. Ferger,Sara B. Frederiksen,Friederike Gebert,Friederike Gerschlauer,Adrian Gütlein,Maria Helbig-Bonitz,Claudia Hemp,William J. Kindeketa,Anna Kühnel,Antonia V. Mayr,Ephraim Mwangomo,Christine Ngereza,Henry K. Njovu,Insa Otte,Holger Pabst,Marion Renner,Juliane Röder,Gemma Rutten,David Schellenberger Costa,Natalia Sierra-Cornejo,Maximilian G. R. Vollstädt,Hamadi I. Dulle,Connal D. Eardley,Kim M. Howell,Alexander Keller,Ralph S. Peters,Axel Ssymank,Victor Kakengi,Jie Zhang,Christina Bogner,Katrin Böhning-Gaese,Roland Brandl,Dietrich Hertel,Bernd Huwe,Ralf Kiese,Michael Kleyer,Yakov Kuzyakov,Thomas Nauss,Matthias Schleuning,Marco Tschapka,Markus Fischer,Ingolf Steffan-Dewenter	Marcell K. Peters: Department of Animal Ecology and Tropical Biology, Biocenter, University of Würzburg, Würzburg, Germany	NATURE	41.577	Y	https://www.nature.com/articles/s41586-019-1048-z
11	2019-03-27	Mapping changes in housing in sub-Saharan Africa from 2000 to 2015	绘制2000年至2015年撒哈拉以南非洲地区住房的变化	Letter	Lucy S. Tusting,Donal Bisanzio,Graham Alabaster,Ewan Cameron,Richard Cibulskis,Michael Davies,Seth Flaxman,Harry S. Gibson,Jakob Knudsen,Charles Mbogo,Fredros O. Okumu,Lorenz von Seidlein,Daniel J. Weiss,Steve W. Lindsay,Peter W. Gething,Samir Bhatt	Lucy S. Tusting: Department of Disease Control, London School of Hygiene & Tropical Medicine, London, UK	NATURE	41.577	Y	https://www.nature.com/articles/s41586-019-1050-5
12	2019-03-27	Chemosensory modulation of neural circuits for sodium appetite	对钠食欲神经回路的化学感觉调节	Letter	Sangjun Lee,Vineet Augustine,Yuan Zhao,Haruka Ebisu,Brittany Ho,Dong Kong,Yuki Oka	Yuki Oka: Division of Biology and Biological Engineering, California Institute of Technology, Pasadena, CA, USA	NATURE	41.577	Y	https://www.nature.com/articles/s41586-019-1053-2
13	2019-03-27	Mid-latitude net precipitation decreased with Arctic warming during the Holocene	全新世中纬度净降水量随北极变暖而减少	Letter	Cody C. Routson,Nicholas P. McKay,Darrell S. Kaufman,Michael P. Erb,Hugues Goosse,Bryan N. Shuman,Jessica R. Rodysill,Toby Ault	Cody C. Routson: School of Earth and Sustainability, Northern Arizona University, Flagstaff, AZ, USA	NATURE	41.577	Y	https://www.nature.com/articles/s41586-019-1060-3
14	2019-03-27	Structural variation in the gut microbiome associates with host health	肠道微生物群的结构变化与宿主的健康有关	Article	David Zeevi,Tal Korem,Anastasia Godneva,Noam Bar,Alexander Kurilshikov,Maya Lotan-Pompan,Adina Weinberger,Jingyuan Fu,Cisca Wijmenga,Alexandra Zhernakova,Eran Segal	David Zeevi: Department of Computer Science and Applied Mathematics, Weizmann Institute of Science, Rehovot, Israel//Department of Molecular Cell Biology, Weizmann Institute of Science, Rehovot, Israel//Center for Studies in Physics and Biology, The Rockefeller University, New York, NY, USA;Eran Segal: Department of Computer Science and Applied Mathematics, Weizmann Institute of Science, Rehovot, Israel//Department of Molecular Cell Biology, Weizmann Institute of Science, Rehovot, Israel	NATURE	41.577	Y	https://www.nature.com/articles/s41586-019-1065-y
15	2019-03-27	Attachment of the blastoderm to the vitelline envelope affects gastrulation of insects	卵黄包膜与胚层的附着影响昆虫的胃泌	Letter	Stefan Münster,Akanksha Jain,Alexander Mietke,Anastasios Pavlopoulos,Stephan W. Grill,Pavel Tomancak	Stephan W. Grill: Max Planck Institute of Molecular Cell Biology and Genetics, Dresden, Germany//Center for Systems Biology, Dresden, Germany//Biotechnology Center, TU Dresden, Dresden, Germany//Cluster of Excellence Physics of Life, TU Dresden, Dresden, Germany;Pavel Tomancak: Max Planck Institute of Molecular Cell Biology and Genetics, Dresden, Germany//Center for Systems Biology, Dresden, Germany	NATURE	41.577	Y	https://www.nature.com/articles/s41586-019-1044-3
16	2019-03-27	Elusive microbe that consumes ethane found under the sea	难以捉摸的微生物消耗海洋中发现的乙烷	NEWS AND VIEWS	Stephen W. Ragsdale	Stephen W. Ragsdale is in the Department of Biological Chemistry, University of Michigan Medical School, Ann Arbor, Michigan 48109-0606, USA.	NATURE	41.577	Y	https://www.nature.com/articles/d41586-019-00842-2
17	2019-03-27	Refrigeration based on plastic crystals	基于塑料晶体的制冷	NEWS AND VIEWS	Claudio Cazorla	Claudio Cazorla is at the School of Materials Science and Engineering, University of New South Wales Sydney, Sydney, New South Wales 2052, Australia.	NATURE	41.577	Y	https://www.nature.com/articles/d41586-019-00974-5
18	2019-03-27	How climate and human activity shape a mountain ecosystem	气候和人类活动如何塑造山地生态系统	NEWS AND VIEWS	Robert M. Pringle	Robert M. Pringle is in the Department of Ecology and Evolutionary Biology, Princeton University, Princeton, New Jersey 08544, USA.	NATURE	41.577	Y	https://www.nature.com/articles/d41586-019-00939-8
19	2019-03-27	Solar cells boosted by an improved charge-carrying material	一种改进的充电材料增强了太阳能电池	NEWS AND VIEWS	Liyuan Han	Liyuan Han is at the State Key Laboratory of Metal Matrix Composites, Shanghai Jiao Tong University, Shanghai 200240, China.	NATURE	41.577	Y	https://www.nature.com/articles/d41586-019-00936-x
20	2019-03-27	Antarctic project to drill for oldest-ever ice core	南极洲计划钻探有史以来最古老的冰核	NEWS	Quirin Schiermeier		NATURE	41.577	Y	https://www.nature.com/articles/d41586-018-07588-3
21	2019-03-27	Why the sexes don’t feel pain the same way	为什么两性对疼痛的感觉不一样	NEWS FEATURE	Amber Dance		NATURE	41.577	Y	https://www.nature.com/articles/d41586-019-00895-3
22	2019-03-27	Plagiarism detectors are a crutch, and a problem	剽窃检测器是一根拐杖，也是一个问题	WORLD VIEW	Debora Weber-Wulff	Debora Weber-Wulff is professor of media and computing at the HTW Berlin − University of Applied Sciences.	NATURE	41.577	Y	https://www.nature.com/articles/d41586-019-00893-5
